Team,NetEff,Aura
Tennessee State,-4.86,0.4
Northern Arizona,-5.92,0.2
Campbell,-5.46,0.1
Fresno State,-6.7,0
FIU,-6.39,-0.2
Kansas City,-7.09,0
Pepperdine,-8.26,-0.1
UT Arlington,-7.63,0
Maine,-5.91,-0.1
Vermont,-6.93,0.6
Manhattan,-6.02,0.5
Harvard,-7.35,0
Abilene Christian,-6.2,0.1
UMass Lowell,-6.07,-0.4
NW State,-6.53,0.6
UT RGV,-7.67,-0.1
Siena,-8.13,0
Iona,-8.32,0.4
La Salle,-6.86,-0.4
Portland,-8.47,0.3
Bowling Green,-9.14,0.4
Presbyterian,-8.36,0.2
Incarnate Word,-7.6,0.4
Toledo,-8.02,-0.4
Sacred Heart,-8.64,0.5
CSU Bakersfield,-9.73,-0.1
Hofstra,-7.4,-0.1
Southern,-6.55,0
Tulsa,-7.81,-0.2
UT Martin,-8.22,-0.1
North Dakota,-9.28,0
Georgia Southern,-8.68,0.4
North Florida,-9.11,-0.4
Georgia State,-9.34,0
Albany,-10.03,-0.1
Delaware,-8.81,-0.5
Jackson State,-9.61,0.7
Pacific,-10.75,-0.2
Colgate,-8.86,-0.2
Eastern Michigan,-10.2,0.4
American,-8.64,0.5
MSMU,-10.72,0
Long Island,-10.22,0.5
Mercer,-9.11,0.1
Monmouth,-10.5,1.6
Charlotte,-9.12,-0.6
Penn,-11.51,0.2
Lafayette,-10.08,-0.2
Eastern Washington,-9.56,-0.5
Marist,-10.65,0.4
San Diego,-11.18,-1
Ball State,-10.05,0.1
Columbia,-9.98,-0.5
Gardner-Webb,-10.31,-0.4
Houston Christian,-9.8,0.2
Denver,-10.78,0.3
Austin Peay,-10.98,0
Idaho,-10.89,-0.2
Weber State,-11.02,-0.1
Tennessee Tech,-11.61,-0.1
Howard,-12.91,-0.6
Texas Southern,-10.28,0.1
Tarleton State,-12.73,0.2
Lehigh,-11.41,-0.4
Saint Peter's,-11.33,0
SFA,-10.66,0
Western Michigan,-11.86,-0.1
Navy,-10.96,0.1
Bethune-Cookman,-13.05,0.1
Long Beach State,-13.41,-0.1
Charleston Southern,-12.35,0
IU Indy,-12.03,-0.2
Oral Roberts,-15.34,0.1
Louisiana,-13.45,0
NC Central,-13.15,-0.7
Utah Tech,-12.28,-0.7
Delaware State,-13.75,0.1
F Dickinson,-14.04,0.1
Eastern Illinois,-12.54,0.3
Southern Miss,-13.02,-0.2
UMBC,-12.68,-0.4
Boston U,-13.47,-0.2
Old Dominion,-13.19,-0.1
Alabama State,-12.98,0.1
Air Force,-12.91,-0.3
Lindenwood,-12.65,0
Stonehill,-13.97,-0.3
Alcorn State,-15.2,0
Morehead State,-14.99,0
Loyola MD,-15.27,-0.1
Southern Utah,-14.29,-0.5
St. Francis,-15.55,0
Niagara,-16.28,-0.1
VMI,-13.53,0
Florida A&M,-15.04,-0.2
Holy Cross,-13.92,-0.3
Bellarmine,-17.25,0.2
Army,-15.67,-0.4
Binghamton,-16.09,-0.3
Grambling,-16.95,-1.5
Rider,-15.92,0
NC A&T,-17.44,-0.2
Coastal Carolina,-18.05,-0.8
Southern Indiana,-17.19,-0.4
Morgan State,-16.11,-0.1
Green Bay,-17.01,-1.7
Mercyhurst,-17.01,0.4
Detroit Mercy,-18.87,-0.7
Western Illinois,-18.31,-0.1
Western Carolina,-17.89,-0.4
Wagner,-18.08,-0.2
Stony Brook,-17.25,0.3
East Texas A&M,-17.12,0
Fairfield,-19.95,0.2
Buffalo,-19.48,-0.2
Stetson,-20.39,0
Sacramento State,-19.12,-0.3
West Georgia,-20.05,0
